species,auc,n_positive,n_total
1161364,0.974855340506193,11,35549
116570,0.3013390345448408,1,35549
1176823,0.9438202905891512,12,35549
1491113,,0,35549
1595929,0.9806746567634481,5,35549
209233,0.7143711142993783,2,35549
22930,0.9986495231128492,6,35549
22956,0.9820200537770646,32,35549
22961,0.9965440921325343,6,35549
22967,0.9737644551363213,8,35549
22973,0.9954442127411749,63,35549
22983,0.9999662342778356,10,35549
22985,0.9334444663271717,6,35549
23150,0.8102424890289186,1,35549
23154,0.9666019581363943,5,35549
23158,0.9757053393359448,26,35549
23176,0.9999859333239555,4,35549
23724,0.3146871835264994,1,35549
24279,0.997227527535987,50,35549
24285,0.9793443642881478,19,35549
24287,0.9964028102165817,12,35549
24321,0.8682518918614792,2,35549
244024,0.9956551541425218,181,35549
25073,,0,35549
25092,0.9910647716682199,29,35549
25214,0.9969101070912807,3,35549
326272,0.9857972967818225,31,35549
41970,0.9887915366551935,21,35549
43435,0.9910039211271834,15,35549
47144,0.9559070026538481,45,35549
47158son01,,0,35549
47158son02,,0,35549
47158son03,,0,35549
47158son04,,0,35549
47158son05,,0,35549
47158son06,,0,35549
47158son07,,0,35549
47158son08,,0,35549
47158son09,,0,35549
47158son10,,0,35549
47158son11,,0,35549
47158son12,,0,35549
47158son13,,0,35549
47158son14,,0,35549
47158son15,,0,35549
47158son16,,0,35549
47158son17,,0,35549
47158son18,,0,35549
47158son19,,0,35549
47158son20,,0,35549
47158son21,,0,35549
47158son22,,0,35549
47158son23,,0,35549
47158son24,,0,35549
47158son25,,0,35549
476521,0.982984489581575,3,35549
516975,0.6404017103634523,1,35549
517063,,0,35549
555123,0.9569196721618936,3,35549
555145,0.9957543925467391,9,35549
555146,0.9833775826430128,18,35549
64898,0.9994795476284252,3,35549
65377,0.9644350324344912,46,35549
65380,0.9962336219156087,23,35549
66971,0.9201440468152149,5,35549
67107,0.9926644416631902,17,35549
67252,0.875967138395746,6,35549
70711,0.830731144681689,2,35549
738183,0.9999999999999999,5,35549
74113,0.9773572694786008,10,35549
74580,0.6617247135167575,3,35549
760266,1.0,7,35549
ashgre1,0.9401811686294445,140,35549
astcra1,0.9815550318887369,142,35549
bafcur1,0.9664256615680322,53,35549
baffal1,0.9924397842866508,342,35549
banana,0.9484632874210782,616,35549
barant1,0.921286530264501,550,35549
batbel1,0.9728162262657637,304,35549
baymac,0.9713202771756059,230,35549
bbwduc,0.9796857924577984,505,35549
bcwfin2,0.9453536862295987,66,35549
bkcdon,0.9603645369820051,216,35549
bkhpar,0.9843237265837351,113,35549
blchaw1,0.9475061010263096,59,35549
blheag1,0.9804035476199237,169,35549
blttit1,0.9456510826536018,73,35549
bncfly,0.9602794360908768,571,35549
bobfly1,0.9475593225488234,576,35549
brcmar1,0.9238625683959149,148,35549
brnowl,0.9921891606593466,474,35549
bucmot4,0.94987404677585,222,35549
bucpar,0.9874168968794317,134,35549
bufpar,0.9520801748695792,244,35549
bunibi1,0.9492844859889291,211,35549
burowl,0.9799138295716718,239,35549
camfli1,0.9448284881779527,137,35549
chacha1,0.9490565746600419,163,35549
chbmoc1,0.9488615372940891,284,35549
chobla1,0.9397320928996822,394,35549
chvcon1,0.9714361805595059,142,35549
cibspi1,0.9621550143700707,42,35549
coffal1,0.9668590112937581,513,35549
compau,0.9817065863019154,558,35549
compot1,0.9771615574209462,391,35549
crbthr1,0.9475460834684458,334,35549
crebec1,0.9780808375796393,84,35549
dwatin1,0.9899577529255976,23,35549
epaori4,0.9333117170059283,217,35549
eulfly1,0.9593171701244899,387,35549
fabwre1,0.9540460028037295,120,35549
fepowl,0.9374190725533396,600,35549
ficman1,0.9897758037856218,68,35549
flawar1,0.9346561873149299,285,35549
fotfly,0.945363704474863,92,35549
fusfly1,0.9356819980652538,274,35549
gilhum1,0.9479119218039858,139,35549
giwrai1,0.9703733891202457,121,35549
glteme1,0.929728138673764,137,35549
grasal3,0.9366300927567234,513,35549
greani1,0.9563784736932951,144,35549
greant1,0.9322054214427435,567,35549
greela,0.9394933846797608,246,35549
grekis,0.8854117589256296,1105,35549
grepot1,0.9878681099772604,75,35549
gretho2,0.9498022191891617,224,35549
greyel,0.9949697370082174,477,35549
grfdov1,0.9578497348014678,276,35549
grhtan1,0.9496056356028069,98,35549
gycwor1,0.9795623068674292,449,35549
horscr1,0.9651249630929015,117,35549
houspa,0.9806950433978416,565,35549
hyamac1,0.9845549989717889,71,35549
larela1,0.9454193040210235,160,35549
lesela1,0.9561286386057203,131,35549
lesgrf1,0.9868220764473474,30,35549
limpki,0.9735589991620734,421,35549
linwoo1,0.9296235687237346,377,35549
litcuc2,0.926250465963924,109,35549
litnig1,0.9788103998433446,126,35549
mabpar,0.9606285782998889,115,35549
magant1,0.9804211535208885,75,35549
magtan2,0.9513007149593753,77,35549
masgna1,0.9472435985803755,315,35549
nacnig1,0.970359370139393,19,35549
ocecra1,0.9993358473574604,15,35549
oliwoo1,0.9573324891327968,455,35549
orbtro3,0.9625241607888615,89,35549
orwpar,0.937479888373216,244,35549
osprey,0.984783505736892,495,35549
pabspi1,0.985976292331297,326,35549
palhor3,0.9358622383368449,86,35549
paltan1,0.937502773996403,303,35549
phecuc1,0.9760259446726461,154,35549
picpig2,0.9193341415989547,334,35549
pirfly1,0.9646602586465428,428,35549
plasla1,0.9197507595148533,192,35549
platyr1,0.9170127417894233,38,35549
plcjay1,0.9453859574668741,204,35549
pluibi1,0.9625514751508999,95,35549
purjay1,0.9537516284333823,98,35549
pvttyr1,0.9435579875417666,286,35549
ragmac1,0.9774616857574665,106,35549
rebscy1,0.9517627011485517,201,35549
recfin1,0.9574617615598412,142,35549
redjun,0.9293899656037943,231,35549
relser1,0.9564981549438902,194,35549
rinkin1,0.9645024073912294,251,35549
rivwar1,0.979340067150072,106,35549
roahaw,0.911047875125691,563,35549
rubthr1,0.9291459924750928,626,35549
rufcac2,0.9638074377599045,37,35549
rufcas2,0.9664600716651225,71,35549
rufgna3,0.9657901844705419,171,35549
rufhor2,0.9142866173036985,540,35549
rufnig1,0.9931946075545124,266,35549
ruftho1,0.9466992927703108,109,35549
ruftof1,0.9212772790152733,128,35549
rumfly1,0.9245280462172798,311,35549
ruther1,0.958583226582819,93,35549
rutjac1,0.9300272332134591,341,35549
sabspa1,0.979549361559503,73,35549
saffin,0.9533346634802028,662,35549
saytan1,0.9230879562432561,358,35549
scadov1,0.957003007189614,291,35549
schpar1,0.949650756591031,160,35549
scther1,0.9907335307639737,109,35549
shcfly1,0.9270539199396768,279,35549
shshaw,0.9680431355593243,101,35549
shtnig1,0.9731797793023171,169,35549
sibtan2,0.9483809394112351,292,35549
smbani,0.9467834991445248,356,35549
smbtin1,0.9409946928635953,125,35549
sobcac1,0.9262811418761746,198,35549
sobtyr1,0.9292057791738506,564,35549
socfly1,0.9435716097951281,572,35549
sofspi1,0.9663802531866716,511,35549
souant1,0.964396017835397,179,35549
soulap1,0.948960891539762,650,35549
souscr1,0.965813778372999,128,35549
spbant3,0.954566003899788,226,35549
spispi1,0.9861929327731654,246,35549
sptnig1,0.9996248991916578,3,35549
squcuc1,0.9336307815468603,451,35549
stbwoo2,0.950726345593792,248,35549
strcuc1,0.9547677595628415,549,35549
strher2,0.9675912715860461,167,35549
strowl1,0.9751445330989249,184,35549
swthum1,0.9560957174514284,115,35549
swtman1,0.9655388797039405,437,35549
tattin1,0.922986466491372,180,35549
thlwre1,0.9315063441292935,307,35549
toctou1,0.9422539838326175,172,35549
trokin,0.9177224333551112,654,35549
trsowl,0.979917927734394,507,35549
undtin1,0.933941713401335,518,35549
varant1,0.9518711180848187,335,35549
watjac1,0.9730819147404244,155,35549
wesfie1,0.982722144145126,142,35549
wfwduc1,0.9809312869811091,143,35549
whbant2,0.9505799073275895,76,35549
whbwar2,0.9676951729175716,297,35549
whiwoo1,0.9714929813144929,155,35549
whlspi1,0.9829043740160176,70,35549
whnjay1,0.9494720113934385,117,35549
whtdov,0.9008943606049974,957,35549
whwpic1,0.9351312846376316,99,35549
y00678,0.9474420652231894,193,35549
yebcar,0.9468143367561018,31,35549
yebela1,0.9247484329826058,384,35549
yecmac,0.9771294966055382,50,35549
yecpar,0.941238819341961,469,35549
yehcar1,0.9645355662116691,82,35549
yeofly1,0.9528968930066262,555,35549
