epoch,train_loss,val_loss,val_auc,lr,time_s
1,0.290790,0.066346,0.491452,0.00050500,74.0
2,0.030134,0.029375,0.552162,0.00100000,71.6
3,0.028202,0.024493,0.827830,0.00099686,71.6
4,0.024047,0.020938,0.877947,0.00098747,71.6
5,0.021622,0.018662,0.906839,0.00097194,71.7
6,0.019819,0.017364,0.923568,0.00095049,72.9
7,0.018521,0.016331,0.928724,0.00092337,72.8
8,0.017535,0.015158,0.938723,0.00089093,72.8
9,0.016643,0.014780,0.941412,0.00085357,72.8
10,0.016048,0.014061,0.946576,0.00081176,72.8
11,0.015453,0.013569,0.951218,0.00076604,72.8
12,0.014966,0.013509,0.950631,0.00071697,72.9
13,0.014463,0.013226,0.953360,0.00066517,72.9
14,0.014130,0.012861,0.955590,0.00061130,72.9
15,0.013529,0.012944,0.953419,0.00055603,72.8
16,0.013212,0.012550,0.957431,0.00050005,72.9
17,0.012838,0.012568,0.955716,0.00044407,72.9
18,0.012532,0.012580,0.958544,0.00038880,73.0
19,0.012122,0.012328,0.957910,0.00033493,72.9
20,0.011798,0.012106,0.961429,0.00028313,72.8
21,0.011560,0.012251,0.959765,0.00023406,72.9
22,0.011180,0.012093,0.959207,0.00018834,72.1
23,0.010980,0.012130,0.960666,0.00014653,71.6
24,0.010758,0.011925,0.960707,0.00010917,71.9
25,0.010663,0.012039,0.960012,0.00007673,71.8
26,0.010494,0.011997,0.961363,0.00004961,71.8
27,0.010441,0.012008,0.961238,0.00002816,71.7
28,0.010371,0.011913,0.962012,0.00001263,71.6
29,0.010227,0.011972,0.961043,0.00000324,71.6
30,0.010232,0.011875,0.961853,0.00000010,71.5
